,file,corte 0 ,corte 2,corte 6
0,ins_05_10_1.txt,0.3174433708190918,0.3691270351409912,0.3183414936065674
1,ins_05_10_10.txt,0.16788721084594727,0.16829419136047363,0.16734027862548828
2,ins_05_10_2.txt,0.21793031692504883,0.2212989330291748,0.21880197525024414
3,ins_05_10_3.txt,0.22128677368164062,0.22262263298034668,0.22235941886901855
4,ins_05_10_4.txt,0.16823935508728027,0.17160606384277344,0.1693120002746582
5,ins_05_10_5.txt,0.21925687789916992,0.21724414825439453,0.21959829330444336
6,ins_05_10_6.txt,0.26677870750427246,0.22191596031188965,0.2683274745941162
7,ins_05_10_7.txt,../CPP/main -v aa -c 0 -t 1 -i ../CPP/instances/ins_05_10_7.txt,../CPP/main -v aa -c 2 -t 1 -i ../CPP/instances/ins_05_10_7.txt,../CPP/main -v aa -c 6 -t 1 -i ../CPP/instances/ins_05_10_7.txt
8,ins_05_10_8.txt,../CPP/main -v aa -c 0 -t 1 -i ../CPP/instances/ins_05_10_8.txt,../CPP/main -v aa -c 2 -t 1 -i ../CPP/instances/ins_05_10_8.txt,../CPP/main -v aa -c 6 -t 1 -i ../CPP/instances/ins_05_10_8.txt
9,ins_05_10_9.txt,../CPP/main -v aa -c 0 -t 1 -i ../CPP/instances/ins_05_10_9.txt,../CPP/main -v aa -c 2 -t 1 -i ../CPP/instances/ins_05_10_9.txt,../CPP/main -v aa -c 6 -t 1 -i ../CPP/instances/ins_05_10_9.txt
10,ins_05_15_1.txt,../CPP/main -v aa -c 0 -t 1 -i ../CPP/instances/ins_05_15_1.txt,../CPP/main -v aa -c 2 -t 1 -i ../CPP/instances/ins_05_15_1.txt,../CPP/main -v aa -c 6 -t 1 -i ../CPP/instances/ins_05_15_1.txt
11,ins_05_15_10.txt,../CPP/main -v aa -c 0 -t 1 -i ../CPP/instances/ins_05_15_10.txt,../CPP/main -v aa -c 2 -t 1 -i ../CPP/instances/ins_05_15_10.txt,../CPP/main -v aa -c 6 -t 1 -i ../CPP/instances/ins_05_15_10.txt
12,ins_05_15_2.txt,../CPP/main -v aa -c 0 -t 1 -i ../CPP/instances/ins_05_15_2.txt,../CPP/main -v aa -c 2 -t 1 -i ../CPP/instances/ins_05_15_2.txt,../CPP/main -v aa -c 6 -t 1 -i ../CPP/instances/ins_05_15_2.txt
13,ins_05_15_3.txt,../CPP/main -v aa -c 0 -t 1 -i ../CPP/instances/ins_05_15_3.txt,../CPP/main -v aa -c 2 -t 1 -i ../CPP/instances/ins_05_15_3.txt,../CPP/main -v aa -c 6 -t 1 -i ../CPP/instances/ins_05_15_3.txt
14,ins_05_15_4.txt,../CPP/main -v aa -c 0 -t 1 -i ../CPP/instances/ins_05_15_4.txt,../CPP/main -v aa -c 2 -t 1 -i ../CPP/instances/ins_05_15_4.txt,../CPP/main -v aa -c 6 -t 1 -i ../CPP/instances/ins_05_15_4.txt
15,ins_05_15_5.txt,../CPP/main -v aa -c 0 -t 1 -i ../CPP/instances/ins_05_15_5.txt,../CPP/main -v aa -c 2 -t 1 -i ../CPP/instances/ins_05_15_5.txt,../CPP/main -v aa -c 6 -t 1 -i ../CPP/instances/ins_05_15_5.txt
16,ins_05_15_6.txt,../CPP/main -v aa -c 0 -t 1 -i ../CPP/instances/ins_05_15_6.txt,../CPP/main -v aa -c 2 -t 1 -i ../CPP/instances/ins_05_15_6.txt,../CPP/main -v aa -c 6 -t 1 -i ../CPP/instances/ins_05_15_6.txt
17,ins_05_15_8.txt,../CPP/main -v aa -c 0 -t 1 -i ../CPP/instances/ins_05_15_8.txt,../CPP/main -v aa -c 2 -t 1 -i ../CPP/instances/ins_05_15_8.txt,../CPP/main -v aa -c 6 -t 1 -i ../CPP/instances/ins_05_15_8.txt
18,ins_05_15_9.txt,../CPP/main -v aa -c 0 -t 1 -i ../CPP/instances/ins_05_15_9.txt,../CPP/main -v aa -c 2 -t 1 -i ../CPP/instances/ins_05_15_9.txt,../CPP/main -v aa -c 6 -t 1 -i ../CPP/instances/ins_05_15_9.txt
19,ins_05_20_1.txt,../CPP/main -v aa -c 0 -t 1 -i ../CPP/instances/ins_05_20_1.txt,../CPP/main -v aa -c 2 -t 1 -i ../CPP/instances/ins_05_20_1.txt,../CPP/main -v aa -c 6 -t 1 -i ../CPP/instances/ins_05_20_1.txt
20,ins_05_20_10.txt,../CPP/main -v aa -c 0 -t 1 -i ../CPP/instances/ins_05_20_10.txt,../CPP/main -v aa -c 2 -t 1 -i ../CPP/instances/ins_05_20_10.txt,../CPP/main -v aa -c 6 -t 1 -i ../CPP/instances/ins_05_20_10.txt
21,ins_05_20_2.txt,../CPP/main -v aa -c 0 -t 1 -i ../CPP/instances/ins_05_20_2.txt,../CPP/main -v aa -c 2 -t 1 -i ../CPP/instances/ins_05_20_2.txt,../CPP/main -v aa -c 6 -t 1 -i ../CPP/instances/ins_05_20_2.txt
22,ins_05_20_3.txt,../CPP/main -v aa -c 0 -t 1 -i ../CPP/instances/ins_05_20_3.txt,../CPP/main -v aa -c 2 -t 1 -i ../CPP/instances/ins_05_20_3.txt,../CPP/main -v aa -c 6 -t 1 -i ../CPP/instances/ins_05_20_3.txt
23,ins_05_20_4.txt,../CPP/main -v aa -c 0 -t 1 -i ../CPP/instances/ins_05_20_4.txt,../CPP/main -v aa -c 2 -t 1 -i ../CPP/instances/ins_05_20_4.txt,../CPP/main -v aa -c 6 -t 1 -i ../CPP/instances/ins_05_20_4.txt
24,ins_05_20_5.txt,../CPP/main -v aa -c 0 -t 1 -i ../CPP/instances/ins_05_20_5.txt,../CPP/main -v aa -c 2 -t 1 -i ../CPP/instances/ins_05_20_5.txt,../CPP/main -v aa -c 6 -t 1 -i ../CPP/instances/ins_05_20_5.txt
25,ins_05_20_6.txt,../CPP/main -v aa -c 0 -t 1 -i ../CPP/instances/ins_05_20_6.txt,../CPP/main -v aa -c 2 -t 1 -i ../CPP/instances/ins_05_20_6.txt,../CPP/main -v aa -c 6 -t 1 -i ../CPP/instances/ins_05_20_6.txt
26,ins_05_20_7.txt,../CPP/main -v aa -c 0 -t 1 -i ../CPP/instances/ins_05_20_7.txt,../CPP/main -v aa -c 2 -t 1 -i ../CPP/instances/ins_05_20_7.txt,../CPP/main -v aa -c 6 -t 1 -i ../CPP/instances/ins_05_20_7.txt
27,ins_05_20_8.txt,../CPP/main -v aa -c 0 -t 1 -i ../CPP/instances/ins_05_20_8.txt,../CPP/main -v aa -c 2 -t 1 -i ../CPP/instances/ins_05_20_8.txt,../CPP/main -v aa -c 6 -t 1 -i ../CPP/instances/ins_05_20_8.txt
28,ins_05_20_9.txt,../CPP/main -v aa -c 0 -t 1 -i ../CPP/instances/ins_05_20_9.txt,../CPP/main -v aa -c 2 -t 1 -i ../CPP/instances/ins_05_20_9.txt,../CPP/main -v aa -c 6 -t 1 -i ../CPP/instances/ins_05_20_9.txt
29,ins_07_14_1.txt,../CPP/main -v aa -c 0 -t 1 -i ../CPP/instances/ins_07_14_1.txt,../CPP/main -v aa -c 2 -t 1 -i ../CPP/instances/ins_07_14_1.txt,../CPP/main -v aa -c 6 -t 1 -i ../CPP/instances/ins_07_14_1.txt
30,ins_07_14_10.txt,../CPP/main -v aa -c 0 -t 1 -i ../CPP/instances/ins_07_14_10.txt,../CPP/main -v aa -c 2 -t 1 -i ../CPP/instances/ins_07_14_10.txt,../CPP/main -v aa -c 6 -t 1 -i ../CPP/instances/ins_07_14_10.txt
31,ins_07_14_2.txt,../CPP/main -v aa -c 0 -t 1 -i ../CPP/instances/ins_07_14_2.txt,../CPP/main -v aa -c 2 -t 1 -i ../CPP/instances/ins_07_14_2.txt,../CPP/main -v aa -c 6 -t 1 -i ../CPP/instances/ins_07_14_2.txt
32,ins_07_14_3.txt,../CPP/main -v aa -c 0 -t 1 -i ../CPP/instances/ins_07_14_3.txt,../CPP/main -v aa -c 2 -t 1 -i ../CPP/instances/ins_07_14_3.txt,../CPP/main -v aa -c 6 -t 1 -i ../CPP/instances/ins_07_14_3.txt
33,ins_07_14_4.txt,../CPP/main -v aa -c 0 -t 1 -i ../CPP/instances/ins_07_14_4.txt,../CPP/main -v aa -c 2 -t 1 -i ../CPP/instances/ins_07_14_4.txt,../CPP/main -v aa -c 6 -t 1 -i ../CPP/instances/ins_07_14_4.txt
34,ins_11_22_9.txt,../CPP/main -v aa -c 0 -t 1 -i ../CPP/instances/ins_11_22_9.txt,../CPP/main -v aa -c 2 -t 1 -i ../CPP/instances/ins_11_22_9.txt,../CPP/main -v aa -c 6 -t 1 -i ../CPP/instances/ins_11_22_9.txt
35,ins_11_33_1.txt,../CPP/main -v aa -c 0 -t 1 -i ../CPP/instances/ins_11_33_1.txt,../CPP/main -v aa -c 2 -t 1 -i ../CPP/instances/ins_11_33_1.txt,../CPP/main -v aa -c 6 -t 1 -i ../CPP/instances/ins_11_33_1.txt
36,ins_11_33_10.txt,../CPP/main -v aa -c 0 -t 1 -i ../CPP/instances/ins_11_33_10.txt,../CPP/main -v aa -c 2 -t 1 -i ../CPP/instances/ins_11_33_10.txt,../CPP/main -v aa -c 6 -t 1 -i ../CPP/instances/ins_11_33_10.txt
37,ins_11_33_2.txt,../CPP/main -v aa -c 0 -t 1 -i ../CPP/instances/ins_11_33_2.txt,../CPP/main -v aa -c 2 -t 1 -i ../CPP/instances/ins_11_33_2.txt,../CPP/main -v aa -c 6 -t 1 -i ../CPP/instances/ins_11_33_2.txt
